tx, ty, tz 
-0.08131274580955505, 0.049638327211141586, 0.02458566054701805
-0.08131618797779083, 0.049669552594423294, 0.02461189590394497
-0.08133403956890106, 0.049724385142326355, 0.024679694324731827
-0.08135269582271576, 0.049740929156541824, 0.024696534499526024
-0.08135029673576355, 0.04974730685353279, 0.024700049310922623
-0.08135878294706345, 0.04979472979903221, 0.024759698659181595
-0.08135075867176056, 0.049772508442401886, 0.024771323427557945
-0.08137272298336029, 0.04982637241482735, 0.024708064272999763
-0.08141422271728516, 0.049815163016319275, 0.024747764691710472
-0.08143477141857147, 0.04985227435827255, 0.02469589374959469
-0.0814342275261879, 0.0498107448220253, 0.024699455127120018
-0.08143331855535507, 0.049806199967861176, 0.02472967840731144
-0.08143725991249084, 0.04980308562517166, 0.024738706648349762
-0.0814288780093193, 0.04979207366704941, 0.024753211066126823
-0.08142384886741638, 0.04977503791451454, 0.0247576255351305
-0.08141540735960007, 0.04977726563811302, 0.024761131033301353
-0.08142029494047165, 0.0497758723795414, 0.02477353811264038
-0.08141148835420609, 0.04976596310734749, 0.02476096898317337
-0.08141369372606277, 0.049752552062273026, 0.024748295545578003
-0.08140803873538971, 0.049751341342926025, 0.024739278480410576
-0.0814201757311821, 0.04975079372525215, 0.0247389804571867
-0.08141270279884338, 0.04972824826836586, 0.024719497188925743
-0.08141511678695679, 0.04971303790807724, 0.024712039157748222
-0.08145250380039215, 0.04975162446498871, 0.024730350822210312
-0.08145494759082794, 0.04970613121986389, 0.024714313447475433
-0.08144443482160568, 0.04970791935920715, 0.0247246865183115
-0.08144456893205643, 0.04968659207224846, 0.024713775143027306
-0.08147638291120529, 0.049679361283779144, 0.024732064455747604
-0.08147269487380981, 0.04968421906232834, 0.02473945915699005
-0.08147280663251877, 0.04968046024441719, 0.0247280765324831
-0.08146694302558899, 0.04965412989258766, 0.02472219057381153
-0.08147182315587997, 0.0496465340256691, 0.024729229509830475
-0.08147556334733963, 0.04963860288262367, 0.02472706511616707
-0.08147747069597244, 0.04962623119354248, 0.02474406734108925
-0.081476591527462, 0.049621038138866425, 0.02475803904235363
-0.08147449791431427, 0.04962419345974922, 0.024766186252236366
-0.08147075772285461, 0.04961688444018364, 0.0247730053961277
-0.08148688822984695, 0.04957360401749611, 0.02476128190755844
-0.08149164170026779, 0.04955768585205078, 0.0247519388794899
-0.08151508122682571, 0.049540672451257706, 0.02474968507885933
-0.08151053637266159, 0.049511801451444626, 0.02474335953593254
-0.08151817321777344, 0.049521900713443756, 0.024731995537877083
-0.08151472359895706, 0.049533892422914505, 0.024748893454670906
-0.08152458071708679, 0.04956524446606636, 0.02477095276117325
-0.08152759075164795, 0.04956493899226189, 0.024763891473412514
-0.08152145147323608, 0.04956550523638725, 0.024768274277448654
-0.08150766044855118, 0.04957159608602524, 0.024762289598584175
-0.08150697499513626, 0.04959068074822426, 0.024775095283985138
-0.08149787783622742, 0.04958893731236458, 0.0247747004032135
-0.08152762055397034, 0.049572013318538666, 0.024764828383922577
-0.08151828497648239, 0.049578286707401276, 0.02475924976170063
-0.08150795847177505, 0.04957287758588791, 0.024755489081144333
-0.08151710033416748, 0.04957035183906555, 0.024782441556453705
-0.08150940388441086, 0.049577657133340836, 0.02479812316596508
-0.08150500059127808, 0.04958125576376915, 0.02477293461561203
-0.08154123276472092, 0.049540940672159195, 0.02474682591855526
-0.08155175298452377, 0.04952013120055199, 0.024717731401324272
-0.08154577761888504, 0.049531757831573486, 0.024750899523496628
-0.08155795186758041, 0.04952340945601463, 0.024738894775509834
-0.08155417442321777, 0.04956524074077606, 0.024748193100094795
-0.08154961466789246, 0.049589853733778, 0.024752724915742874
-0.08154519647359848, 0.04958384856581688, 0.02474851720035076
-0.08154357969760895, 0.04960433393716812, 0.024752425029873848
-0.08155860751867294, 0.049589645117521286, 0.02475845254957676
-0.08156837522983551, 0.049626436084508896, 0.024775050580501556
-0.08157320320606232, 0.04962959140539169, 0.024780582636594772
-0.08156523108482361, 0.04963741824030876, 0.024790285155177116
-0.081561379134655, 0.049677774310112, 0.02479165978729725
-0.0815606638789177, 0.04966265335679054, 0.024800535291433334
-0.08155111968517303, 0.04970637708902359, 0.02480376325547695
-0.08155502378940582, 0.04972681775689125, 0.02479719929397106
-0.0815586969256401, 0.049738094210624695, 0.02480914071202278
-0.08155491948127747, 0.04974741488695145, 0.0248201172798872
-0.08155321329832077, 0.04973185807466507, 0.024807723239064217
-0.08156301826238632, 0.04974080249667168, 0.024832285940647125
-0.08156342059373856, 0.049751389771699905, 0.02484845742583275
-0.08156324923038483, 0.04973907768726349, 0.02483995258808136
-0.08156416565179825, 0.04976494237780571, 0.02484903857111931
-0.08155898749828339, 0.049744535237550735, 0.024851461872458458
-0.0815562829375267, 0.04976813867688179, 0.02486046962440014
-0.08155017346143723, 0.04978287220001221, 0.024861253798007965
-0.08155693113803864, 0.04978149011731148, 0.024870552122592926
-0.08155364543199539, 0.049755778163671494, 0.024849656969308853
-0.08156351745128632, 0.049751799553632736, 0.024862194433808327
-0.08155558258295059, 0.04973847046494484, 0.024855202063918114
-0.08154390752315521, 0.04974495247006416, 0.02486208826303482
-0.0815478041768074, 0.04975906014442444, 0.024871839210391045
-0.08155091851949692, 0.04975314810872078, 0.02489401586353779
-0.0815463662147522, 0.04973955452442169, 0.02491326443850994
-0.08154574781656265, 0.04973125457763672, 0.024908263236284256
-0.08156979084014893, 0.04972895234823227, 0.02493545226752758
-0.08156340569257736, 0.049712393432855606, 0.02491166442632675
-0.08157960325479507, 0.04968399181962013, 0.02491304837167263
-0.08157392591238022, 0.049704793840646744, 0.024911953136324883
-0.08155982196331024, 0.04972761124372482, 0.024910379201173782
-0.08156933635473251, 0.0497245155274868, 0.024913055822253227
-0.08157477527856827, 0.04972398653626442, 0.024925021454691887
-0.08158902823925018, 0.049703627824783325, 0.024929188191890717
-0.0815950483083725, 0.04968304559588432, 0.02494138292968273
